Time	position_x	position_y
0.001	0.001	1000.100
0.001	0.002	1000.200
0.001	0.003	1000.300
0.001	0.004	1000.400
0.001	0.005	1000.500
0.001	0.006	1000.600
0.001	0.007	1000.700
0.001	0.008	1000.800
0.001	0.009	1000.900
0.001	0.010	1000.999
0.001	0.011	1001.099
0.001	0.012	1001.199
0.001	0.013	1001.299
0.001	0.014	1001.399
0.001	0.015	1001.499
0.001	0.016	1001.599
0.001	0.017	1001.699
0.001	0.018	1001.798
0.001	0.019	1001.898
0.001	0.020	1001.998
0.001	0.021	1002.098
0.001	0.022	1002.198
0.001	0.023	1002.297
0.001	0.024	1002.397
0.001	0.025	1002.497
0.001	0.026	1002.597
0.001	0.027	1002.696
0.001	0.028	1002.796
0.001	0.029	1002.896
0.001	0.030	1002.995
0.001	0.031	1003.095
0.001	0.032	1003.195
0.001	0.033	1003.295
0.001	0.034	1003.394
0.001	0.035	1003.494
0.001	0.036	1003.593
0.001	0.037	1003.693
0.001	0.038	1003.793
0.001	0.039	1003.892
0.001	0.040	1003.992
0.001	0.041	1004.092
0.001	0.042	1004.191
0.001	0.043	1004.291
0.001	0.044	1004.390
0.001	0.045	1004.490
0.001	0.046	1004.589
0.001	0.047	1004.689
0.001	0.048	1004.788
0.001	0.049	1004.888
0.001	0.050	1004.988
0.001	0.051	1005.087
0.001	0.052	1005.186
0.001	0.053	1005.286
0.001	0.054	1005.385
0.001	0.055	1005.485
0.001	0.056	1005.584
0.001	0.057	1005.684
0.001	0.058	1005.783
0.001	0.059	1005.883
0.001	0.060	1005.982
0.001	0.061	1006.081
0.001	0.062	1006.181
0.001	0.063	1006.280
0.001	0.064	1006.380
0.001	0.065	1006.479
0.001	0.066	1006.578
0.001	0.067	1006.678
0.001	0.068	1006.777
0.001	0.069	1006.876
0.001	0.070	1006.976
0.001	0.071	1007.075
0.001	0.072	1007.174
0.001	0.073	1007.274
0.001	0.074	1007.373
0.001	0.075	1007.472
0.001	0.076	1007.571
0.001	0.077	1007.671
0.001	0.078	1007.770
