# Time	position_x	position_y
0.001	0.001	1000.100
0.002	0.002	1000.200
0.003	0.003	1000.300
0.004	0.004	1000.400
0.005	0.005	1000.500
0.006	0.006	1000.600
0.007	0.007	1000.700
0.008	0.008	1000.800
0.009	0.009	1000.900
0.010	0.010	1000.999
0.011	0.011	1001.099
0.012	0.012	1001.199
0.013	0.013	1001.299
0.014	0.014	1001.399
0.015	0.015	1001.499
0.016	0.016	1001.599
0.017	0.017	1001.699
0.018	0.018	1001.798
0.019	0.019	1001.898
0.020	0.020	1001.998
0.021	0.021	1002.098
0.022	0.022	1002.198
0.023	0.023	1002.297
0.024	0.024	1002.397
0.025	0.025	1002.497
0.026	0.026	1002.597
0.027	0.027	1002.696
0.028	0.028	1002.796
0.029	0.029	1002.896
0.030	0.030	1002.995
0.031	0.031	1003.095
0.032	0.032	1003.195
0.033	0.033	1003.295
0.034	0.034	1003.394
0.035	0.035	1003.494
0.036	0.036	1003.593
0.037	0.037	1003.693
0.038	0.038	1003.793
0.039	0.039	1003.892
0.040	0.040	1003.992
0.041	0.041	1004.092
0.042	0.042	1004.191
0.043	0.043	1004.291
0.044	0.044	1004.390
0.045	0.045	1004.490
0.046	0.046	1004.589
0.047	0.047	1004.689
0.048	0.048	1004.788
0.049	0.049	1004.888
0.050	0.050	1004.988
0.051	0.051	1005.087
0.052	0.052	1005.186
0.053	0.053	1005.286
0.054	0.054	1005.385
0.055	0.055	1005.485
0.056	0.056	1005.584
0.057	0.057	1005.684
0.058	0.058	1005.783
0.059	0.059	1005.883
0.060	0.060	1005.982
0.061	0.061	1006.081
0.062	0.062	1006.181
0.063	0.063	1006.280
0.064	0.064	1006.380
0.065	0.065	1006.479
0.066	0.066	1006.578
0.067	0.067	1006.678
0.068	0.068	1006.777
0.069	0.069	1006.876
0.070	0.070	1006.976
0.071	0.071	1007.075
0.072	0.072	1007.174
0.073	0.073	1007.274
0.074	0.074	1007.373
0.075	0.075	1007.472
0.076	0.076	1007.571
0.077	0.077	1007.671
0.078	0.078	1007.770
0.079	0.079	1007.869
0.080	0.080	1007.968
0.081	0.081	1008.067
0.082	0.082	1008.167
0.083	0.083	1008.266
0.084	0.084	1008.365
0.085	0.085	1008.464
0.086	0.086	1008.563
0.087	0.087	1008.662
0.088	0.088	1008.762
0.089	0.089	1008.861
0.090	0.090	1008.960
0.091	0.091	1009.059
0.092	0.092	1009.158
0.093	0.093	1009.257
0.094	0.094	1009.356
0.095	0.095	1009.455
0.096	0.096	1009.554
0.097	0.097	1009.653
0.098	0.098	1009.752
0.099	0.099	1009.851
0.100	0.100	1009.951
0.101	0.101	1010.050
0.102	0.102	1010.149
0.103	0.103	1010.248
0.104	0.104	1010.346
0.105	0.105	1010.445
0.106	0.106	1010.544
0.107	0.107	1010.643
0.108	0.108	1010.742
0.109	0.109	1010.841
0.110	0.110	1010.940
0.111	0.111	1011.039
0.112	0.112	1011.138
0.113	0.113	1011.237
0.114	0.114	1011.336
0.115	0.115	1011.435
0.116	0.116	1011.533
0.117	0.117	1011.632
0.118	0.118	1011.731
0.119	0.119	1011.830
0.120	0.120	1011.929
0.121	0.121	1012.028
0.122	0.122	1012.126
0.123	0.123	1012.225
0.124	0.124	1012.324
0.125	0.125	1012.423
0.126	0.126	1012.522
0.127	0.127	1012.620
0.128	0.128	1012.719
0.129	0.129	1012.818
0.130	0.130	1012.917
0.131	0.131	1013.015
0.132	0.132	1013.114
0.133	0.133	1013.213
0.134	0.134	1013.311
0.135	0.135	1013.410
0.136	0.136	1013.509
0.137	0.137	1013.607
0.138	0.138	1013.706
0.139	0.139	1013.805
0.140	0.140	1013.903
0.141	0.141	1014.002
0.142	0.142	1014.101
0.143	0.143	1014.199
0.144	0.144	1014.298
0.145	0.145	1014.396
0.146	0.146	1014.495
0.147	0.147	1014.593
0.148	0.148	1014.692
0.149	0.149	1014.790
0.150	0.150	1014.889
0.151	0.151	1014.988
0.152	0.152	1015.086
0.153	0.153	1015.185
0.154	0.154	1015.283
0.155	0.155	1015.382
0.156	0.156	1015.480
0.157	0.157	1015.578
0.158	0.158	1015.677
0.159	0.159	1015.775
0.160	0.160	1015.874
0.161	0.161	1015.972
0.162	0.162	1016.071
0.163	0.163	1016.169
0.164	0.164	1016.267
0.165	0.165	1016.366
0.166	0.166	1016.464
0.167	0.167	1016.563
0.168	0.168	1016.661
0.169	0.169	1016.759
0.170	0.170	1016.858
0.171	0.171	1016.956
0.172	0.172	1017.054
0.173	0.173	1017.153
0.174	0.174	1017.251
0.175	0.175	1017.349
0.176	0.176	1017.447
0.177	0.177	1017.546
0.178	0.178	1017.644
0.179	0.179	1017.742
0.180	0.180	1017.840
0.181	0.181	1017.939
0.182	0.182	1018.037
0.183	0.183	1018.135
0.184	0.184	1018.233
0.185	0.185	1018.331
0.186	0.186	1018.430
0.187	0.187	1018.528
0.188	0.188	1018.626
0.189	0.189	1018.724
0.190	0.190	1018.822
0.191	0.191	1018.920
0.192	0.192	1019.018
0.193	0.193	1019.117
0.194	0.194	1019.215
0.195	0.195	1019.313
0.196	0.196	1019.411
0.197	0.197	1019.509
0.198	0.198	1019.607
0.199	0.199	1019.705
0.200	0.200	1019.803
0.201	0.201	1019.901
0.202	0.202	1019.999
0.203	0.203	1020.097
0.204	0.204	1020.195
0.205	0.205	1020.293
0.206	0.206	1020.391
0.207	0.207	1020.489
0.208	0.208	1020.587
0.209	0.209	1020.685
0.210	0.210	1020.783
0.211	0.211	1020.881
0.212	0.212	1020.979
0.213	0.213	1021.077
0.214	0.214	1021.175
0.215	0.215	1021.272
0.216	0.216	1021.370
0.217	0.217	1021.468
0.218	0.218	1021.566
0.219	0.219	1021.664
0.220	0.220	1021.762
0.221	0.221	1021.860
0.222	0.222	1021.957
0.223	0.223	1022.055
0.224	0.224	1022.153
0.225	0.225	1022.251
0.226	0.226	1022.349
0.227	0.227	1022.446
0.228	0.228	1022.544
0.229	0.229	1022.642
0.230	0.230	1022.740
0.231	0.231	1022.837
0.232	0.232	1022.935
0.233	0.233	1023.033
0.234	0.234	1023.131
0.235	0.235	1023.228
0.236	0.236	1023.326
0.237	0.237	1023.424
0.238	0.238	1023.521
0.239	0.239	1023.619
